id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
0023f836-395b-4b8c-a090-3144fa2b3dbb,cups.ing,premium,437.5,,60,12,4,name.com,,
005ba469-5ebe-4a85-838b-252e3665a8ff,attempts.ing,premium,112.5,,54,3,8,name.com,,
005e4428-c477-4dfc-9a9a-2740cf47de85,ponders.ing,available,16.98,,54,5,7,namecheap,,
0070c005-b3ab-4739-b87a-cda2a083c955,affections.ing,available,16.98,,62,2,10,namecheap,,
00bceb0b-3347-48a5-b93b-bd25daba8b83,macaroniandcheese.ing,available,16.98,,72,2,19,namecheap,,
00c3a664-9a83-42be-ab4e-757b3afefcfc,stepping.ing,available,16.98,,73,5,8,namecheap,,
00cac77c-d369-46b9-9caa-bcc483456613,highwater.ing,available,16.98,,66,7,10,namecheap,,
00ce0495-6aa1-473a-84cf-7ca7852f02ea,goape.ing,available,16.98,,76,5,6,namecheap,,
00dc37cd-e9e3-4dea-b783-13d0c6d27418,cutthrough.ing,available,16.98,,74,6,11,namecheap,,
00fa7797-bff4-4b97-9070-b7f5a8265f90,movesouth.ing,available,16.98,,49,1,10,namecheap,,
011c36c3-dac4-4941-8a70-40c643dc81fc,goberserk.ing,available,16.98,,68,1,10,namecheap,,
015fd7be-590f-426c-b93e-c09aadf06a91,advertises.ing,available,16.98,,56,3,10,namecheap,,
017d4f1c-6274-4a4d-b505-c129af8f30c0,fellowfeel.ing,available,16.98,,62,1,14,namecheap,,
01b72e64-f76e-4c24-96ad-ef1ea507cdc7,weddingcake.ing,available,16.98,,85,5,12,namecheap,,
01cc7f75-c010-4821-b1f2-01509206a10b,remedied.ing,available,16.98,,58,1,8,namecheap,,
01d1d275-c3cf-4334-b7aa-2e8cec16ee15,Apples.ing,premium,490,490,90,16,6,namecheap,,
0207b3c9-9483-4647-8ca2-a355998e5514,counted.ing,available,16.98,,58,5,7,namecheap,,
02100a39-2963-4b26-a540-3928200e0d75,makesense.ing,available,16.98,,82,14,10,namecheap,,
02184c17-113a-42db-879f-93b5b3480198,aswespeak.ing,available,16.98,,58,2,11,namecheap,,
0271ec11-c6e4-4a3f-bbb9-be6d888a99f7,Snickers.ing,available,16.98,,80,10,8,namecheap,,
02818d90-76e4-4e8a-b99b-59a279eb70a3,prettier.ing,available,16.98,,62,5,8,namecheap,,
0289d7fe-6b85-4ab1-9460-be437f4bf761,alcoholfree.ing,available,16.98,,70,6,12,namecheap,,
0291991d-ca41-40e4-b8d9-9e1799535390,lordmayor.ing,available,16.98,,76,1,10,namecheap,,
02981945-044d-43ee-ac4f-1cf992e0fdfb,panels.ing,premium,437.5,,48,11,6,name.com,,
02e70e46-0e3c-4596-b297-0c1b59443cd4,tubes.ing,premium,187.5,,48,12,5,name.com,,
02fca989-d0ea-4da4-8660-fcf0b1a298c7,insummation.ing,available,16.98,,50,1,12,namecheap,,
0300bf44-3a16-4a71-beb2-9c84615ff27b,getonwithit.ing,available,16.98,,51,4,14,namecheap,,
030ed32e-2436-4b6a-9036-1dada190928d,dues.ing,available,16.98,,70,6,4,namecheap,,
03118bdf-4357-454d-b0ee-600fe9dffb46,breastaugmentation.ing,available,16.98,,66,5,19,namecheap,,
03224265-f229-4638-aa47-92592096187e,longfor.ing,available,16.98,,70,3,8,namecheap,,
032f76b4-f8d3-4cd5-8305-577a67f5a9f3,opinions.ing,available,16.98,,62,11,8,namecheap,,
0345cad1-db41-4956-9d9a-22229e551994,propranolol.ing,available,16.98,,68,5,11,namecheap,,
03583e52-c5f5-46b7-b622-49c63fceafdf,cuttothechase.ing,available,16.98,,68,4,16,namecheap,,
035987d7-50cc-4d99-a2c0-5ab307afa5c5,Ineedaguide.ing,available,16.98,,50,1,14,namecheap,,
03636280-ee56-4fe9-9a00-f6adadf28225,plans.ing,premium,437.5,,60,20,5,name.com,,
0366574e-42c2-4922-8c9d-e5e81bd5bd6c,donuts.ing,premium,437.5,,54,62,6,name.com,,
0375c1eb-b20f-45f3-8e92-bb712bb9066f,vergeon.ing,available,16.98,,68,1,8,namecheap,,
03a40a90-eeda-4f72-89d4-2593ccd7b2d5,pills.ing,premium,187.5,,56,15,5,name.com,,
03bdb5d2-0ef9-4d1c-896c-fbb4c61ea806,pump.ing,premium,12500,,76,8,7,name.com,,
03c47f19-22fa-49ab-a68b-98825e444504,taller.ing,premium,437.5,,54,10,6,name.com,,
0411b069-2432-4e1f-897d-a41bd019e497,fitinto.ing,available,16.98,,84,2,8,namecheap,,
041cdfb9-bc8d-45d7-9e18-ab114ad90e0b,takeout.ing,premium,112.5,,75,16,8,name.com,,
042b3b61-bb01-40e6-aaf2-4a4e94591964,takeaways.ing,available,16.98,,56,5,9,namecheap,,
04318bc5-216d-4331-bb08-8378843c2200,stepin.ing,premium,62.5,,74,8,7,name.com,,
044b7d3f-5c57-4ee6-b6cf-2ca314a6eec6,havingamoment.ing,available,16.98,,40,2,15,namecheap,,
045854ad-357f-4e36-a161-e1129fcc7f86,ofinterest.ing,available,16.98,,50,3,11,namecheap,,
